player_id;player_name;team_id;position;matches_played;matches_started;minutes_played;goals;assists;shots;shots_on_target;yellow_cards;red_cards;penalty_goals;own_goals;clean_sheets;saves;goals_conceded;;average_rating
1113;Igor Sergeev;43;FWD;3;0;26;0;0;0;;0;0;0;0;;;;;6.47
1114;Abbosbek Fayzullaev;43;MID;3;3;223;1;0;3;;0;0;0;0;;;;;6.77
1115;Sherzod Esanov;43;MID;1;0;1;0;0;0;;0;0;0;0;;;;;0
1116;Behruzjon Karimov;43;DEF;2;2;180;0;0;2;;0;0;0;0;;;;;6.25
1117;Avazbek Ulmasaliyev;43;DEF;0;0;0;;;;;;;0;0;;;;;
1118;Jakhongir Urozov;43;DEF;2;1;95;0;0;0;;0;0;0;0;;;;;6.35
1119;David Ospina;44;GK;0;0;0;;;;;;;0;0;0;0;0;;
1120;Daniel Munoz;44;DEF;5;4;393;2;0;3;;0;0;0;0;;;;;7.16
1121;Jhon Janer Lucumi;44;DEF;5;5;478;0;0;2;;1;0;0;0;;;;;7.14
1122;Santiago Arias;44;DEF;1;1;87;0;0;0;;0;0;0;0;;;;;7.5
1123;Kevin Duvan Castano;44;MID;2;0;15;0;0;0;;0;0;0;0;;;;;6.7
1124;Richard Rios;44;MID;5;0;135;0;0;5;;0;0;0;0;;;;;6.6
1125;Luis Fernando Diaz;44;FWD;5;5;480;1;1;19;;0;0;0;0;;;;;6.98
1126;Jorge Andres Carrascal;44;MID;0;0;0;;;;;;;0;0;;;;;
1127;Jhon AndrŽs Cordoba;44;FWD;3;2;100;0;0;2;;0;0;0;0;;;;;6.43
1128;James David Rodriguez;44;MID;5;5;318;0;0;6;;0;0;0;0;;;;;7.06
1129;Jhon Adolfo Arias;44;MID;5;5;382;1;0;9;;0;0;0;0;;;;;7.26
1130;Camilo Andres Vargas;44;GK;5;5;480;0;0;0;;0;0;0;0;4;9;1;;6.84
1131;Yerry Fernando Mina;44;DEF;1;0;2;0;0;0;;0;0;0;0;;;;;0
1132;Gustavo Adolfo Puerta;44;DEF;5;5;470;0;1;14;;1;0;0;0;;;;;7.12
1133;Juan Camilo Portilla;44;MID;0;0;0;;;;;;;0;0;;;;;
1134;Jefferson AndrŽs Lerma;44;MID;5;5;412;0;0;5;;1;0;0;0;;;;;6.78
1135;Johan AndrŽs Mojica;44;DEF;4;4;390;0;0;3;;1;0;0;0;;;;;7.2
1136;Willer Emilio Ditta;44;DEF;0;0;0;;;;;;;0;0;;;;;
1137;Juan Camilo Hernandez;44;FWD;2;0;48;0;1;1;;0;0;0;0;;;;;6.35
1138;Juan Fernando Quintero;44;MID;4;0;117;0;1;4;;0;0;0;0;;;;;7.4
1139;Jaminton Leandro Campaz;44;FWD;3;0;75;1;0;6;;0;0;0;0;;;;;7.23
1140;Deiver Machado;44;DEF;1;1;90;0;0;0;;0;0;0;0;;;;;7.1
1141;Davinson Sanchez;44;DEF;5;5;480;0;0;6;;1;0;0;0;;;;;7.2
1142;çlvaro David Montero;44;GK;0;0;0;;;;;;;0;0;0;0;0;;
1143;Luis Javier Suarez;44;FWD;5;3;332;0;1;9;;1;0;0;0;;;;;6.44
1144;Carlos AndrŽs Gomez;44;FWD;1;0;1;0;0;0;;0;0;0;0;;;;;6.6
1145;Jordan Lee Pickford;45;GK;7;7;660;0;0;0;;0;0;0;0;2;19;8;;6.53
1146;Ezri Ngoyo Konsa;45;DEF;8;7;647;1;0;3;;0;0;0;0;;;;;6.81
1147;Nico Oreilly;45;DEF;7;5;464;0;0;7;;1;0;0;0;;;;;6.49
1148;Declan Rice;45;MID;7;7;559;1;2;6;;2;0;0;0;;;;;7.33
1149;John Stones;45;DEF;5;3;331;0;0;1;;0;0;0;0;;;;;6.68
1150;Keaninkin Marc-Isreal Guehi;45;DEF;8;7;663;0;0;1;;1;0;0;0;;;;;7.08
1151;Bukayo Ayoyinka Saka;45;FWD;7;3;358;3;3;13;;0;0;1;0;;;;;7.31
1152;Elliot Junior Anderson;45;MID;8;7;634;0;1;7;;1;0;0;0;;;;;7.18
1153;Harry Edward Kane;45;FWD;7;7;654;6;1;23;;0;0;2;0;;;;;7.26
1154;Jude Victor William Bellingham;45;MID;8;7;620;7;1;19;;1;0;0;0;;;;;7.81
1155;Marcus Rashford;45;FWD;5;3;220;1;1;;;0;0;0;0;;;;;
1156;Trevoh Tom Chalobah;45;DEF;1;0;1;0;0;0;;0;0;0;0;;;;;0
1157;Dean Bradley Henderson;45;GK;1;1;90;0;0;0;;0;0;0;0;0;5;4;;7.4
1158;Jordan Brian Henderson;45;MID;2;0;7;0;0;;;1;0;0;0;;;;;
1159;Daniel Johnson Burn;45;DEF;3;0;29;0;0;0;;0;0;0;0;;;;;6.57
1160;Kobbie Boateng Mainoo;45;MID;0;0;0;;;;;;;0;0;;;;;
1161;Morgan Elliot Rogers;45;MID;7;3;336;0;1;3;;0;0;0;0;;;;;6.69
1162;Anthony Michael Gordon;45;FWD;6;5;400;1;3;6;;0;0;0;0;;;;;6.88
1163;George Arthur Watkins;45;FWD;2;0;51;0;0;1;;0;0;0;0;;;;;6.6
1164;Azuka Tristan Madueke;45;FWD;5;4;287;0;0;6;;0;0;0;0;;;;;7.02
1165;Eberechi Oluchi Eze;45;MID;5;1;209;0;1;5;;0;0;0;0;;;;;6.84
1166;Ivan Benjamin Elijah Toney;45;FWD;1;1;79;0;0;;;0;0;0;0;;;;;
1167;James Harrington Trafford;45;GK;0;0;0;;;;;;;0;0;0;0;0;;
1168;Reece Lewis James;45;DEF;5;3;318;0;0;1;;0;0;0;0;;;;;6.74
1169;Tehuti Djed-Hotep Spence;45;DEF;8;4;394;0;0;2;;0;0;0;0;;;;;6.95
1170;Jarell Amorin Quansah;45;DEF;3;3;207;0;0;0;;1;1;0;0;;;;;6.3
1171;Dominik Livakovic;46;GK;4;4;360;0;0;0;;0;0;0;0;1;8;7;;6.78
1172;Josip Stanisic;46;DEF;4;4;360;0;2;0;;0;0;0;0;;;;;6.73
1173;Marin Pongracic;46;DEF;3;3;270;0;0;1;;0;0;0;0;;;;;6.57
1174;Jo?ko Gvardiol;46;DEF;4;2;139;0;0;1;;0;0;0;0;;;;;6.43
1175;Duje Caleta-Car;46;DEF;0;0;0;;;;;;;0;0;;;;;
1176;Josip Sutalo;46;DEF;4;4;360;0;0;1;;0;0;0;0;;;;;6.78
1177;Nikola Moro;46;MID;0;0;0;;;;;;;0;0;;;;;
1178;Mateo Kovacic;46;MID;4;3;272;0;0;5;;0;0;0;0;;;;;6.85
1179;Andrej Kramaric;46;FWD;3;0;57;0;0;1;;0;0;0;0;;;;;6.53
1180;Luka Modric;46;MID;4;4;319;0;1;1;;1;0;0;0;;;;;7.03
1181;Ante Budimir;46;FWD;3;2;155;1;0;3;;0;0;0;0;;;;;6.7
1182;Ivor Pandur;46;GK;0;0;0;;;;;;;0;0;0;0;0;;
1183;Nikola Vlasic;46;MID;3;2;190;1;0;3;;0;0;0;0;;;;;6.6
1184;Ivan Perisic;46;FWD;4;4;360;1;1;2;;2;0;0;0;;;;;6.95
1185;Mario Pasalic;46;MID;4;1;121;0;0;4;;0;0;0;0;;;;;6.63
1186;Martin Baturina;46;MID;4;4;324;1;0;3;;0;0;0;0;;;;;7.18
1187;Petar Sucic;46;MID;4;3;288;1;1;3;;1;0;0;0;;;;;7.03
1188;Kristijan Jakic;46;DEF;0;0;0;;;;;;;0;0;;;;;
1189;Toni Fruk;46;MID;0;0;0;;;;;;;0;0;;;;;
1190;Igor Matanovic;46;FWD;3;0;93;0;0;4;;0;0;0;0;;;;;6.47
1191;Luka Sucic;46;MID;1;0;18;0;0;1;;0;0;0;0;;;;;6.5
1192;Luka Vuskovic;46;DEF;1;1;66;0;0;0;;0;0;0;0;;;;;6.1
1193;Dominik Kotarski;46;GK;0;0;0;;;;;;;0;0;0;0;0;;
1194;Marco Pasalic;46;FWD;3;1;98;0;0;3;;0;0;0;0;;;;;6.63
1195;Martin Erlic;46;DEF;0;0;0;;;;;;;0;0;;;;;
1196;Petar Musa;46;FWD;2;2;112;1;0;1;;0;0;0;0;;;;;7
1197;Lawrence Ati Zigi;47;GK;2;2;136;0;0;0;;0;0;0;0;1;12;1;;8.45
1198;Alidu Seidu;47;DEF;1;0;77;0;0;0;;0;0;0;0;;;;;6.6
1199;Caleb Marfo Yirenkyi;47;MID;4;3;264;1;0;2;;1;0;0;0;;;;;6.73
1200;Jonas Adjei Adjetey;47;DEF;3;3;226;0;0;2;;0;0;0;0;;;;;6.97
1201;Thomas Teye Partey;47;MID;3;3;270;0;0;2;;0;0;0;0;;;;;6.9
1202;Abdul Mumin Mumin;47;DEF;0;0;0;;;;;;;0;0;;;;;
1203;Abdul Fatawu Fatawu;47;FWD;4;0;128;0;0;3;;0;0;0;0;;;;;6.75
1204;Kwasi Sibo;47;MID;4;3;249;0;0;0;;0;0;0;0;;;;;6.53
1205;Jordan Pierre Ayew;47;FWD;4;4;303;0;0;0;;0;0;0;0;;;;;6.65
1206;Brandon Michael Clarke Thomas-Asante;47;FWD;2;0;51;0;0;0;;0;0;0;0;;;;;6.6
1207;Antoine Serlom Semenyo;47;MID;4;4;360;0;1;6;;0;0;0;0;;;;;6.35
1208;Joseph Tetteh Anang;47;GK;0;0;0;;;;;;;0;0;0;0;0;;
1209;Christopher Bonsu Bonsu Baah;47;FWD;0;0;0;;;;;;;0;0;;;;;
1210;Gideon Mensah;47;DEF;4;4;360;0;0;0;;0;0;0;0;;;;;6.98
1211;Elisha Owusu;47;MID;3;2;152;0;0;0;;0;0;0;0;;;;;6.57
1212;Benjamin Asare;47;GK;3;2;224;0;0;0;;0;0;0;0;1;5;2;;7.2
1213;Abdul Rahman Rahman;47;DEF;1;0;1;0;0;0;;0;0;0;0;;;;;0
1214;Jerome Opoku;47;DEF;3;3;270;0;0;0;;0;0;0;0;;;;;7.13
1215;Inaki Williams;47;FWD;2;2;128;0;0;3;;1;0;0;0;;;;;6.25
1216;Augustine Boakye;47;MID;0;0;0;;;;;;;0;0;;;;;
1217;Kojo Peprah Oppong;47;DEF;2;0;47;0;0;0;;1;0;0;0;;;;;6.5
1218;Kamal Deen Sulemana;47;FWD;2;2;129;0;0;1;;0;0;0;0;;;;;6.6
1219;Derrick Luckassen;47;DEF;2;2;180;1;0;1;;0;0;0;0;;;;;7.25
1220;Ernest Nuamah Nuamah;47;FWD;3;1;88;0;1;0;;0;0;0;0;;;;;6.7
1221;Prince Kwabena Adu;47;FWD;3;0;38;0;0;1;;0;0;0;0;;;;;6.17
1222;Marvin Elom Senaya;47;DEF;4;4;280;0;0;2;;0;0;0;0;;;;;6.93
1223;Luis Ricardo Mejia;48;GK;0;0;0;;;;;;;0;0;0;0;0;;
1224;Cesar Rodolfo Blackman;48;DEF;2;2;180;0;0;2;;1;0;0;0;;;;;6.6
